Discharge_Current,Battery(+),Battery(-),Batt,Estimate_time,Temp
83,375,376,81,3161,24
83,374,375,81,3096,24
83,372,373,80,3037,24
83,369,370,79,2981,24
84,366,368,68,2921,24
84,367,368,75,2860,24
84,367,368,75,2797,24
84,367,368,75,2736,24
84,367,368,75,2677,24
84,366,368,68,2621,24
84,366,367,68,2556,24
84,366,367,68,2496,24
84,365,367,62,2441,24
84,365,366,62,2377,24
85,364,366,59,2316,24
85,364,365,59,2256,24
85,363,365,52,2197,24
85,363,364,52,2137,24
85,362,364,50,2077,24
85,361,363,49,2017,24
85,361,362,49,1957,24
85,361,362,48,1897,24
85,360,362,48,1893,24
85,360,361,48,1776,24
85,359,360,45,1772,24
85,359,360,45,1656,24
85,358,359,41,1653,24
85,357,358,39,1593,24
85,356,357,36,1533,24
85,355,357,33,1469,24
85,354,356,32,1409,24
85,353,355,30,1349,24
86,352,354,27,1288,24
87,351,353,24,1228,24
87,350,352,23,1117,24
87,350,352,23,1057,24
87,349,351,22,1049,24
87,348,350,22,937,24
87,347,350,21,925,24
87,346,349,20,816,24
89,345,348,20,756,24
89,344,347,19,745,24
89,342,346,19,637,24
89,340,344,18,625,24
91,337,342,16,561,24
91,333,340,11,501,24
91,330,337,10,396,24
92,326,334,8,380,24
93,323,331,8,277,24
93,320,329,7,261,24
95,315,325,6,157,24
96,309,321,3,137,24
98,301,312,1,76,24
98,301,312,1,0,24
